Instance abcdsat CryptoMiniSat5 Lingeling MapleCOMSPS MiniSat2.2 Riss6 Rokk
Volfram96_15.cnf 80.084 32.5013 69.4 146.012 204.68 36.244 70.576
Volfram96_16.cnf 20.112 39.8464 69.7 16.368 84.556 61.64 33.624
Volfram96_17.cnf 19.908 129.917 58.7 99.176 116.416 98.404 9.676
Volfram96_18.cnf 10.584 34.5933 64.5 11.988 64.276 12.124 32.008
Volfram96_19.cnf 13.968 25.724 61.3 31.288 10.94 36.012 16.98
Volfram96_2.cnf 20.92 78.1962 112.2 22.64 37.932 31.404 132.796
Volfram96_20.cnf 22.716 22.3094 87.4 29.532 96.548 5.652 23.948
Volfram96_21.cnf 26.828 8.01019 104.7 34.876 322.144 33.092 17.912
Volfram96_22.cnf 20.96 24.4809 75.9 11.184 28.236 4.792 64.252
Volfram96_23.cnf 13.328 13.2519 43.2 31.388 8.608 22.432 9.872
Volfram96_24.cnf 67.348 36.7299 108.1 93.188 47.312 84.968 92.7
Volfram96_25.cnf 56.168 50.4525 90.3 60.432 60.312 53.656 20.952
Volfram96_26.cnf 6.436 84.017 128.3 23.528 48.724 10.908 63.904
Volfram96_27.cnf 77.588 106.369 144.4 34.664 4.168 70.004 109.464
Volfram96_28.cnf 18.084 8.77771 84.1 44.936 12.62 5.556 21.224
Volfram96_29.cnf 32.464 5.00038 19.4 1.936 10.156 5.08 11.964
Volfram96_3.cnf 31.944 52.8008 48.8 74.636 9.84 3.34 4.988
Volfram96_30.cnf 51.956 47.5442 150 77.716 58.672 35.16 22.664
Volfram96_31.cnf 5.504 30.2478 19.1 8.12 28.684 27.056 13.12
Volfram96_32.cnf 22.128 115.295 81.1 159.308 15.776 88.448 57.568
Volfram96_33.cnf 13.72 13.1153 89.7 11.876 28.336 15.388 35.38
Volfram96_34.cnf 45.832 138.909 79 119.104 2.064 87.604 1.912
Volfram96_35.cnf 31.064 87.6658 34.8 94.76 14.584 33.4 34.996
Volfram96_36.cnf 21.52 68.1093 121.8 56.684 41.048 51.012 28.64
Volfram96_37.cnf 3.84 61.8994 77.5 58.308 52.82 38.536 19.88
Volfram96_38.cnf 32.956 44.6365 104 60.696 27.516 38.068 98.852
Volfram96_39.cnf 6.556 62.6706 31.1 45.332 115.116 4.3 19.224
Volfram96_4.cnf 170.22 201.51 260.5 53.516 643.344 232.976 168.984
Volfram96_40.cnf 46.968 11.9633 52.6 13.976 42.156 69.44 41.036
Volfram96_41.cnf 9.2 81.297 105 93.556 24.308 54.948 55.52
Volfram96_42.cnf 38.48 30.9973 77.4 71.388 62.924 36.916 16.048
Volfram96_43.cnf 24.88 13.6255 20.3 25.056 11.472 16.332 16.64
Volfram96_44.cnf 45.476 34.9568 106.6 16.908 57.676 52.772 13.032
Volfram96_45.cnf 37.224 31.001 59.3 88.18 18.536 18.712 73.252
Volfram96_46.cnf 27.624 14.9743 27.6 37.384 32.144 11.568 13.192
Volfram96_47.cnf 48.216 70.836 75.4 54.776 65.548 67.568 23.236
Volfram96_48.cnf 7.044 51.3198 29.6 40.452 25.732 9.716 36.84
Volfram96_49.cnf 31.388 7.77523 24.5 14.512 10.604 17.428 8.58
Volfram96_5.cnf 28.464 41.1965 49.3 10.012 42 18.844 14.26
Volfram96_50.cnf 136.364 17.5336 129.9 43.56 210.996 22.068 68.26
Volfram96_51.cnf 50.188 55.0305 117.3 74.26 259.8 56.792 80.556
Volfram96_52.cnf 74.304 119.633 146.3 67.888 169.74 73.344 106.212
Volfram96_53.cnf 33.656 66.4991 62.9 23.42 82.784 12.796 16.444
Volfram96_54.cnf 49.128 113.412 58.8 76.728 94.84 15.392 46.14
Volfram96_55.cnf 10.844 2.87811 29.1 36.572 9.8 3.836 11.18
Volfram96_56.cnf 10.3 26.8298 34.5 61.26 40.928 4.524 27.432
Volfram96_57.cnf 24.176 11.5001 53.3 55.888 37.116 20.252 56.928
Volfram96_58.cnf 35.288 70.9569 70.3 127.564 6 67.092 164.476
Volfram96_59.cnf 267.104 209.717 324.6 53.1 437.908 148.42 111.4
Volfram96_6.cnf 13.244 15.0399 61.6 23.912 14.308 29.236 19.208
Volfram96_60.cnf 88.384 31.9871 73.8 60.268 30.408 37.516 44.776
Volfram96_61.cnf 37.14 64.1766 53.3 70.032 111.492 99.056 118.416
Volfram96_62.cnf 32.08 102.25 50.7 31.54 95.52 52.452 46.428
Volfram96_63.cnf 65.448 135.804 294.1 68.272 165.448 143.272 214.424
Volfram96_64.cnf 71.476 104.947 73.9 114.556 4.436 65.252 93.62
Volfram96_65.cnf 73.004 81.4233 210.7 62.348 35 61.772 22.872
Volfram96_66.cnf 24.872 80.2312 77.5 89.612 53.248 40.1 63.208
Volfram96_67.cnf 27.8 24.8865 69.9 68.96 11.528 30.552 18.248
Volfram96_68.cnf 56.612 159.434 199.8 44.676 67.516 99.88 31.372
Volfram96_69.cnf 12.452 33.58 37.1 4.208 84.808 5.064 18.336
Volfram96_7.cnf 14.052 7.89254 69.1 15.98 14.504 1.732 14.484
Volfram96_70.cnf 19.632 51.5101 68.3 26.96 37.104 4.06 9.216
Volfram96_71.cnf 53.444 60.7663 91.6 58.916 69.416 32.296 84.82
Volfram96_72.cnf 134.476 73.2501 117.3 23.968 26.96 39.768 51.972
Volfram96_73.cnf 7.84 21.929 29 44.232 9.74 7.764 18.088
Volfram96_74.cnf 7.332 10.3919 84.9 63.26 5.108 59.996 34.252
